"Age","Employment","MaritalStatus","EducationStatus","DefaultStatus","HousingStatus","LoanStatus","Duration","PDays","Previous","POutcomeStatus","EmpVarRate","NEmployed"
"Medium","Employed","Married","Degree","Known","0","0","Short",TRUE,FALSE,"Nonexistent","High","High"
"Medium","Employed","Married","High School","Known","0","0","Short",TRUE,FALSE,"Nonexistent","Moderate","High"
"Medium","Employed","Married","Degree","Known","1","0","Short",TRUE,FALSE,"Nonexistent","Low","Low"
"Medium","Employed","Single","BelowHigh","Known","0","0","Short",TRUE,FALSE,"Nonexistent","High","High"
"Medium","Employed","Married","Degree","Known","0","0","Short",TRUE,FALSE,"Nonexistent","High","High"
"Medium","Employed","Single","Degree","Known","1","0","Short",TRUE,FALSE,"Nonexistent","High","High"
"Medium","Employed","Single","Degree","Known","0","0","Short",TRUE,FALSE,"Nonexistent","High","High"
"Medium","Employed","Married","High School","Known","0","0","Short",TRUE,TRUE,"Failure","Moderate","High"
"Medium","Employed","Married","BelowHigh","Known","1","0","Short",TRUE,FALSE,"Nonexistent","Moderate","High"
"Medium","Employed","Married","High School","Known","0","0","Long",TRUE,FALSE,"Nonexistent","Moderate","High"
"Medium","Employed","Single","Degree","Known","1","1","Short",TRUE,FALSE,"Nonexistent","High","High"
"Medium","Employed","Married","BelowHigh","Known","0","1","Short",TRUE,FALSE,"Nonexistent","High","High"
"Medium","Employed","Married","High School","Known","1","0","Short",TRUE,FALSE,"Nonexistent","Moderate","Low"
"Medium","Employed","Married","BelowHigh","Unknown","1","1","Long",TRUE,FALSE,"Nonexistent","Medium","High"
"Low","Employed","Single","Degree","Known","1","0","Short",FALSE,TRUE,"Success","Low","Low"
"Medium","Employed","Single","Degree","Known","0","0","Short",TRUE,TRUE,"Failure","Medium","High"
"Medium","Employed","Single","BelowHigh","Known","0","0","Short",TRUE,FALSE,"Nonexistent","Moderate","High"
"Medium","Employed","Married","Degree","Known","1","0","Short",TRUE,FALSE,"Nonexistent","High","High"
"Medium","Employed","Single","Degree","Known","0","1","Short",TRUE,FALSE,"Nonexistent","High","High"
"Medium","Employed","Married","High School","Known","1","0","Short",TRUE,FALSE,"Nonexistent","Moderate","High"
"Medium","Student","Single","Unknown","Known","0","1","Short",TRUE,FALSE,"Nonexistent","Moderate","High"
"Medium","Employed","Single","BelowHigh","Known","1","0","Short",TRUE,FALSE,"Nonexistent","Moderate","High"
"Medium","Employed","Single","Degree","Known","1","0","Short",TRUE,FALSE,"Nonexistent","Medium","High"
"Medium","Unknown","Married","High School","Unknown","0","0","Short",TRUE,FALSE,"Nonexistent","High","High"
"Medium","Employed","Divorced","Unknown","Unknown","0","0","Long",TRUE,FALSE,"Nonexistent","High","High"
"Medium","Employed","Married","Degree","Unknown","1","0","Short",TRUE,FALSE,"Nonexistent","Moderate","High"
"Medium","Employed","Married","Degree","Known","1","1","Short",TRUE,FALSE,"Nonexistent","High","High"
"Medium","Employed","Divorced","BelowHigh","Known","1","0","Short",TRUE,FALSE,"Nonexistent","High","High"
"Medium","Employed","Married","Degree","Known","0","0","Short",TRUE,TRUE,"Failure","Medium","High"
