"V1","V3","V4","V5","V6","V7","V8","V9","V10","C3","C1","C2","C4"
134,16,256,2,4412,10,39,46,2571,0,1,2,0
150,34,150,26,3207,101,6,70,859,0,1,1,1
13,14,30,27,3892,46,43,4,1209,0,1,2,0
45,9,277,30,4618,22,31,19,4953,0,1,2,0
115,15,331,22,4837,71,33,35,330,0,1,3,1
91,8,30,29,2192,40,31,3,1742,0,1,2,1
227,18,323,28,192,8,26,38,4415,1,1,1,0
9,8,124,24,4200,51,26,22,5028,0,1,3,1
163,17,335,15,955,75,37,34,1138,0,0,3,1
306,11,277,49,454,60,29,27,1693,0,0,3,1
25,17,430,59,1531,48,51,12,2839,1,0,2,0
293,12,0,30,3329,16,17,15,2110,0,0,1,0
246,22,90,27,1448,6,30,49,1342,0,1,1,0
182,6,467,44,828,26,26,7,2648,0,0,2,0
16,5,331,4,3790,31,25,1,5674,1,1,2,0
81,13,153,34,1865,44,43,6,1833,0,0,2,0
289,21,30,25,1865,12,20,31,1514,0,0,1,0
144,19,361,22,1047,69,50,12,3322,0,1,3,1
280,12,404,72,612,28,41,23,1604,1,0,2,0
388,14,765,89,2574,39,3,26,1557,1,1,1,1
48,7,335,6,3500,41,29,7,3180,0,0,2,1
284,3,361,3,474,42,14,24,1501,1,1,3,1
144,5,511,73,2250,41,9,27,1587,0,1,1,1
33,12,297,55,2334,62,28,32,589,1,0,3,1
30,13,875,558,953,68,10,55,2154,1,1,3,1
331,12,516,73,1131,41,41,8,2290,1,1,2,0
233,5,150,16,4897,45,22,19,2609,0,1,3,1
180,22,228,120,1518,3,45,67,984,1,0,2,0
252,15,162,6,3554,14,42,44,2305,0,0,2,0
131,16,283,27,1048,45,50,14,1824,1,0,2,0
307,19,30,30,5161,31,58,42,180,0,1,2,0
50,33,469,267,2202,104,6,76,1273,1,1,1,1
208,7,560,1,1055,28,29,9,890,1,0,2,0
8,14,604,77,2161,48,43,1,1302,1,1,2,0
35,8,153,16,1716,20,20,10,2359,0,1,1,0
343,24,361,137,892,16,67,75,930,1,0,2,0
130,7,134,2,509,24,15,0,1290,1,1,1,0
402,9,60,20,30,25,32,17,787,0,0,2,0
130,6,175,21,1173,47,21,23,1745,0,1,3,1
208,13,342,30,5757,59,4,50,2565,1,1,3,1
58,8,283,4,5221,21,17,7,5872,0,1,1,0
10,12,384,27,3035,40,39,7,2133,1,0,2,0
57,18,162,0,1681,36,3,18,384,0,1,1,1
253,8,192,22,474,25,12,4,2161,1,1,1,1
741,11,85,19,1092,62,24,35,1218,0,0,3,1
10,10,162,9,3542,17,20,16,2032,1,0,1,0
28,8,67,25,1505,43,31,6,1905,0,0,2,1
237,8,0,30,1289,22,29,16,2163,0,0,2,0
189,12,277,26,2195,16,18,16,1908,0,1,1,0
41,10,430,33,1980,51,32,16,1387,1,0,3,1
