"V1","V3","V4","V5","V6","V7","V8","V9","V10","C3","C1","C2","C4"
253,12,577,50,577,33,5,17,1950,0,1,1,1
30,3,162,32,4850,39,12,22,4733,0,0,1,1
132,14,108,10,1356,28,46,29,1215,0,0,2,0
310,23,408,122,3814,22,13,15,525,1,1,1,0
80,12,67,31,1679,27,39,22,1839,0,1,2,0
105,17,90,7,618,18,14,14,1284,0,1,1,0
79,12,150,0,2405,62,7,51,1230,0,1,3,1
100,9,150,10,2489,17,24,18,2743,0,0,1,0
59,25,480,195,987,3,57,83,570,1,0,2,0
96,8,391,31,2888,37,32,2,499,1,1,2,0
303,13,228,18,1107,23,10,1,2679,1,1,1,0
71,2,780,48,5416,31,16,9,6091,1,1,1,1
65,7,531,49,5159,30,30,8,5679,1,1,2,0
104,7,175,3,2081,43,7,30,2133,1,0,1,1
130,31,190,90,1476,13,32,56,1667,1,0,1,0
300,32,120,0,2401,4,46,82,3175,0,1,1,0
388,11,30,26,511,17,29,25,2166,0,0,2,0
42,6,541,28,3598,24,19,3,3137,1,0,1,0
67,16,573,148,2512,42,50,17,2100,1,0,2,0
235,7,408,24,4236,26,26,9,904,0,1,2,0
107,15,60,21,531,70,35,31,1248,0,1,3,1
30,6,390,6,4199,28,25,5,4510,0,1,2,0
17,12,295,12,5531,66,13,51,5842,0,0,3,1
186,13,85,17,1689,17,39,36,700,0,0,2,0
224,5,0,30,5527,41,23,15,2040,0,1,3,1
266,33,175,48,1008,141,32,97,1020,1,0,3,1
247,15,258,6,3076,15,42,43,2906,1,1,2,0
63,10,242,4,3198,28,34,15,2604,0,0,2,0
182,5,607,23,339,33,10,16,1650,1,1,1,1
231,10,711,26,5501,46,4,35,1172,1,1,1,1
221,22,30,20,2978,80,55,18,1889,0,0,3,1
112,18,402,122,2219,7,36,49,1480,1,1,1,0
201,18,1150,160,3105,38,3,21,1756,1,1,1,1
23,14,525,33,716,46,44,5,1840,1,1,2,0
72,5,192,24,2741,36,26,4,1405,0,1,2,1
19,16,42,31,1465,20,12,9,638,0,1,1,0
62,5,277,17,4925,46,20,22,5208,0,1,3,1
42,18,30,18,1082,66,49,10,752,0,0,3,1
18,18,95,4,3798,8,27,40,2635,0,0,1,0
16,11,108,7,4455,58,28,28,5567,0,1,3,1
78,11,722,95,1477,60,28,29,2053,1,1,3,1
121,2,488,19,1691,31,17,8,2620,0,1,1,1
20,11,67,16,1869,19,15,9,600,0,0,1,0
94,25,404,156,1061,61,1,41,484,1,1,1,1
255,16,162,13,3221,15,17,19,1919,1,0,1,0
96,6,108,18,2586,35,27,2,2522,0,0,2,1
462,33,277,36,474,114,84,14,1451,1,0,3,1
24,24,268,73,5317,106,32,70,716,1,1,3,1
192,7,42,31,1110,40,28,6,2268,0,0,2,1
138,10,420,65,2322,46,35,6,2418,1,0,2,1
10,4,0,30,5622,36,22,8,1465,0,0,2,1
174,8,594,36,417,21,19,8,1624,1,1,1,0
52,19,150,20,1573,66,54,5,2556,1,0,2,1
301,34,175,63,1518,34,105,107,1445,1,0,2,0
307,9,474,65,552,58,19,36,1358,1,1,3,1
173,9,300,0,837,45,5,34,1414,0,1,1,1
23,24,335,39,3720,42,74,51,2661,1,0,2,0
194,10,30,34,2440,27,9,8,847,0,0,1,1
243,33,42,7,2896,75,101,49,6423,0,0,2,0
313,9,390,73,4588,58,15,41,981,1,1,3,1
175,5,150,17,426,29,23,1,2672,0,0,2,0
23,36,480,56,3576,55,16,0,1364,0,0,1,0
81,7,277,14,6013,21,24,12,3540,0,1,2,0
333,11,150,18,551,64,20,43,1077,0,1,3,1
135,11,283,21,3141,43,36,1,1142,1,0,2,1
118,3,30,30,1224,31,20,5,990,0,0,2,1
319,3,30,28,760,44,16,24,1638,0,0,3,1
58,7,108,15,5029,29,29,8,1158,0,1,2,0
259,11,598,78,408,55,5,46,2230,1,1,3,1
157,8,30,27,2032,26,12,5,2582,0,0,1,1
29,15,295,44,5276,55,1,46,981,1,1,1,1
6,15,437,13,5582,72,8,60,5501,1,1,3,1
303,4,485,31,335,46,19,24,997,1,1,3,1
94,20,658,47,4105,59,0,48,1574,1,0,1,1
279,5,0,30,2080,37,10,22,2664,0,0,1,1
298,22,85,23,1236,44,69,42,485,0,0,2,0
152,9,408,8,2894,25,31,16,6627,1,0,2,0
300,25,67,18,1950,44,4,18,1050,0,0,1,1
319,23,67,16,2212,55,70,29,1195,0,0,2,0
243,11,0,30,3717,24,10,2,2128,0,0,1,1
44,10,30,25,3140,61,20,39,2089,0,0,3,1
229,11,210,1,2001,21,36,27,5437,1,0,2,0
29,7,210,13,4751,32,30,5,5958,1,1,2,0
68,8,0,30,1774,21,23,12,2084,0,0,2,0
406,13,201,48,655,19,38,32,671,0,0,2,0
130,19,360,174,741,64,55,1,3077,1,1,2,1
172,7,85,26,1945,23,25,11,2845,0,0,2,0
40,17,30,27,1651,31,54,37,1231,0,0,2,0
63,20,323,27,242,14,56,62,1998,1,1,2,0
33,4,192,32,4834,35,24,6,4689,0,0,2,1
156,16,633,64,541,25,51,39,1233,1,0,2,0
140,12,268,21,3120,46,38,1,1131,1,0,2,1
77,9,42,30,1345,35,33,5,2621,0,0,2,0
356,7,402,70,5389,22,22,9,1146,1,1,2,0
139,11,671,30,330,48,35,8,992,1,0,2,1
259,9,242,21,2568,40,6,27,1012,1,1,1,1
278,29,60,62,708,47,8,11,793,0,0,1,1
247,35,120,15,1546,144,27,101,1203,1,0,3,1
111,29,488,100,3537,38,12,4,1626,1,0,1,0
199,20,421,50,828,93,34,56,1254,0,0,3,1
1,16,300,14,5289,75,32,40,2197,0,0,3,1
48,15,671,29,1211,76,25,48,1236,0,0,3,1
241,15,459,48,480,34,48,25,1608,1,1,2,0
19,2,150,7,1987,31,17,9,2429,0,1,1,1
232,8,454,33,255,48,7,37,2952,1,1,3,1
150,16,553,78,4127,11,39,45,4670,0,1,2,0
16,14,319,21,3848,41,46,13,5341,1,1,2,0
301,11,342,4,3169,27,9,7,390,1,1,1,1
200,5,212,13,1604,26,21,3,2264,0,0,2,0
282,8,631,10,631,43,6,31,859,1,1,1,1
45,21,201,22,1632,4,46,66,1403,1,1,2,0
233,15,342,4,1224,74,11,60,1934,1,1,3,1
136,16,150,11,1530,68,42,22,2532,1,0,3,1
341,9,218,26,2614,24,32,17,677,1,0,2,0
112,27,30,10,4847,117,44,65,4766,0,0,3,1
38,11,0,30,400,62,8,50,1390,0,0,3,1
180,8,516,25,1572,29,31,10,2125,0,0,2,0
53,17,212,25,1073,16,16,18,2455,1,0,1,0
63,25,180,23,1610,23,74,74,2700,1,0,2,0
183,17,67,16,892,57,0,47,499,0,0,1,1
310,20,127,2,1465,87,40,42,1189,0,0,3,1
164,19,175,20,859,90,14,72,1515,1,1,3,1
294,13,420,49,5910,26,42,27,2021,1,1,2,0
418,2,268,49,577,33,16,11,664,0,0,1,1
229,18,228,36,2496,21,54,50,964,1,0,2,0
65,4,470,52,5454,44,19,21,1756,1,1,3,1
259,8,242,8,2041,43,30,8,3079,0,1,2,1
130,9,421,17,1992,19,23,15,2087,1,0,1,0
72,14,67,17,2743,10,30,35,2347,0,0,1,0
55,22,0,30,3350,57,65,20,2694,0,0,2,0
294,9,234,9,631,33,33,7,1213,1,1,2,0
109,17,150,25,3034,24,52,43,4667,0,0,2,0
88,19,685,85,5846,80,5,69,5053,1,1,3,1
66,1,417,66,3229,38,18,15,1380,1,1,3,1
34,11,0,30,3290,15,21,19,1915,0,0,1,0
324,24,190,103,551,7,29,50,3605,0,1,1,0
344,10,134,17,2482,46,34,7,2602,0,0,2,1
75,12,690,78,5761,68,12,53,4411,1,1,3,1
342,12,671,25,3849,63,9,52,1142,0,1,3,1
261,15,270,39,1575,32,48,27,5768,0,0,2,0
38,13,0,30,532,21,40,30,1490,0,0,2,0
52,11,362,14,2024,38,39,8,1661,0,0,2,0
248,18,242,43,2468,64,51,5,1392,1,0,2,1
13,14,95,7,3690,73,17,54,4831,0,0,3,1
350,6,218,4,1320,26,24,6,4849,0,0,2,0
110,12,218,11,2361,22,38,28,3448,1,0,2,0
142,27,0,30,1965,8,71,92,1782,0,0,2,0
14,12,240,5,4243,14,24,24,4463,0,1,1,0
50,8,503,78,4513,23,13,0,1842,1,1,1,0
159,15,524,55,2416,48,1,37,1565,0,1,1,1
154,9,30,27,1888,43,33,4,2724,0,0,2,1
292,18,268,5,2676,47,55,19,2557,1,0,2,0
127,5,277,0,3151,38,25,8,1084,0,1,2,1
80,11,351,23,1595,26,37,22,2754,1,0,2,0
95,7,0,30,3513,39,30,4,1855,0,1,2,1
53,9,182,22,2801,60,16,43,534,0,1,3,1
326,32,60,43,541,77,4,47,854,0,0,1,1
188,24,268,110,1106,62,71,22,900,1,0,2,0
214,10,228,4,1410,17,29,24,1831,0,0,2,0
106,21,228,41,1315,78,53,18,1621,1,0,3,1
38,7,240,38,3644,25,13,3,1633,0,0,1,1
29,9,108,21,1445,44,31,8,1932,0,0,2,1
53,28,153,19,3378,16,25,42,1101,1,1,1,0
202,11,361,3,2249,66,14,50,2550,0,1,3,1
104,17,60,27,6629,19,13,11,3193,0,1,1,0
231,13,371,31,2343,71,12,56,947,1,1,3,1
196,16,42,23,1107,36,3,19,1673,0,0,1,1
223,13,42,14,2427,63,32,28,4670,0,0,3,1
171,4,277,46,2330,37,23,10,2398,0,1,2,1
44,7,212,12,2758,23,18,5,2356,1,0,1,0
295,21,277,0,899,97,27,66,1385,0,1,3,1
443,4,240,17,700,34,23,5,847,0,1,2,1
37,10,216,7,300,59,9,47,1351,1,1,3,1
1,2,270,29,3454,34,19,9,4680,1,0,2,1
47,16,450,90,2329,42,51,19,558,1,0,2,0
106,15,67,14,785,58,2,49,942,0,1,1,1
30,19,0,30,362,40,60,33,2289,0,0,2,0
1,16,700,268,1006,37,3,21,1682,1,0,1,1
58,5,362,5,1442,48,14,31,1414,1,1,3,1
65,11,272,9,4660,61,26,33,134,0,1,3,1
283,23,95,27,1891,57,71,28,6949,0,0,2,0
102,28,60,3,1802,13,78,95,1233,0,0,2,0
231,18,1142,103,3132,32,5,11,2307,1,1,1,1
209,6,60,27,2427,30,28,5,4213,0,0,2,0
13,11,295,37,1797,16,28,25,1288,0,1,2,0
177,17,124,15,2430,57,0,47,882,1,1,1,1
194,7,192,29,1616,31,30,6,2147,1,0,2,0
108,8,180,12,3221,33,31,5,1581,0,1,2,0
39,17,120,13,3404,14,47,51,6309,0,1,2,0
100,10,488,75,3130,61,19,40,927,1,1,3,1
419,3,277,3,1054,32,20,6,4773,1,0,2,1
171,7,228,5,4175,47,25,19,2084,1,1,3,1
209,6,42,34,2792,51,16,33,882,0,1,3,1
290,17,67,13,721,83,13,67,1434,0,0,3,1
55,8,859,72,1190,54,9,42,1992,1,1,3,1
421,24,285,69,870,78,66,2,1614,1,0,3,1
235,6,481,36,242,48,10,34,2910,1,1,3,1
100,17,127,11,2051,21,11,7,1471,0,1,1,0
128,5,430,2,2191,29,23,1,2442,1,0,2,0
101,10,366,103,2629,56,27,26,1560,1,1,3,1
92,8,497,39,1773,58,16,39,2112,0,1,3,1
194,16,162,1,5155,80,25,52,541,0,1,3,1
179,28,42,12,2571,105,65,30,2041,0,0,3,1
122,21,722,262,858,81,52,22,1560,1,1,3,1
86,11,382,9,1170,26,37,21,1095,1,1,2,0
70,19,362,3,1950,86,39,43,1482,1,0,3,1
42,4,270,6,5929,46,16,27,4053,1,1,3,1
33,13,240,23,3022,56,37,14,2059,1,1,3,1
162,31,255,85,2138,113,76,24,2509,1,0,3,1
67,5,0,30,2916,33,25,2,1840,0,0,2,1
125,28,240,67,3025,97,74,11,1758,1,0,3,1
13,17,42,31,810,27,7,4,1602,0,1,1,1
32,12,67,20,3329,52,37,10,6360,0,1,2,1
32,9,42,30,2282,41,32,3,902,0,1,2,1
7,11,30,25,2550,65,18,46,2429,0,0,3,1
