"V1","V3","V4","V5","V6","V7","V8","V9","V10","C3","C1","C2","C4"
37,24,67,6,6173,97,51,40,4510,1,0,3,1
503,31,85,2,598,23,92,101,636,0,0,2,0
252,5,67,28,1677,29,14,8,5566,0,0,1,1
7,18,655,45,2250,70,48,17,1371,1,1,3,1
68,15,576,147,582,20,46,40,2440,1,0,2,0
182,11,108,5,2438,65,15,48,134,0,0,3,1
286,11,350,31,4135,15,27,24,1253,1,1,2,0
293,12,0,30,3329,16,17,15,2110,0,0,1,0
272,15,301,19,811,12,39,43,1224,1,0,2,0
16,5,331,4,3790,31,25,1,5674,1,1,2,0
289,21,30,25,1865,12,20,31,1514,0,0,1,0
336,18,404,95,750,9,25,37,3413,0,1,1,0
28,16,446,93,750,11,41,48,1768,0,1,2,0
16,13,446,16,5716,61,4,52,3565,1,1,3,1
170,11,212,6,1458,64,21,41,2408,0,0,3,1
353,21,366,76,787,4,34,54,3472,0,1,1,0
30,13,875,558,953,68,10,55,2154,1,1,3,1
88,11,60,34,845,15,23,21,799,0,1,1,0
147,15,30,22,2356,78,15,60,594,0,1,3,1
224,17,446,81,390,8,31,42,1852,1,1,1,0
392,8,242,15,631,24,28,13,3475,0,0,2,0
81,11,382,4,4819,51,35,11,216,1,1,2,1
22,4,95,22,3291,28,15,5,1370,0,0,1,1
325,18,700,53,1591,30,57,41,2428,1,1,2,0
237,18,60,5,1290,29,56,41,2188,0,0,2,0
184,8,42,25,2704,20,26,16,4579,0,0,2,0
196,9,242,9,5356,31,34,11,979,0,1,2,0
111,9,285,11,1532,23,13,0,1315,1,0,1,0
399,6,120,16,1057,24,19,4,5004,0,0,1,0
131,16,283,27,1048,45,50,14,1824,1,0,2,0
42,6,350,5,2634,23,21,7,2461,1,0,1,0
20,13,457,104,674,12,26,30,1318,1,0,1,0
190,32,216,70,1682,95,5,69,1243,1,0,1,1
135,24,170,46,2343,92,6,78,361,1,0,3,1
77,20,240,38,3242,73,1,63,1198,1,1,3,1
124,8,95,23,1262,23,28,14,2058,0,1,2,0
208,7,560,1,1055,28,29,9,890,1,0,2,0
192,10,210,12,1922,22,13,3,1159,0,0,1,0
10,9,420,20,3583,33,35,10,4075,0,0,2,0
221,11,42,22,1200,61,27,31,2304,0,1,3,1
112,14,400,7,1256,59,2,51,592,0,1,3,1
402,9,60,20,30,25,32,17,787,0,0,2,0
66,19,242,82,1966,81,44,32,2839,1,1,3,1
205,10,313,32,1110,58,26,29,1663,1,1,3,1
119,12,765,89,420,47,39,2,1084,1,0,2,1
286,17,362,39,1142,59,49,3,1550,0,0,2,1
84,10,240,26,1291,35,36,9,2525,0,1,2,0
119,11,323,40,576,38,39,8,2255,1,0,2,0
115,25,67,15,3277,22,73,74,5022,0,0,2,0
87,14,170,14,2139,30,45,26,1406,1,0,2,0
17,17,242,38,3960,58,51,1,2582,1,1,2,0
245,14,300,6,3342,36,4,20,684,1,1,1,1
130,9,636,93,2301,57,9,45,1455,0,1,3,1
29,4,404,3,3946,31,14,10,3523,0,0,1,1
30,16,134,13,2160,79,23,53,2279,1,1,3,1
44,12,324,54,2826,67,12,53,2089,1,1,3,1
488,7,60,22,604,22,25,12,1560,0,0,2,0
183,11,618,2,309,45,4,34,1682,1,1,1,1
35,6,540,41,4218,44,24,16,5538,1,1,3,1
20,7,841,111,1343,52,10,39,1819,0,1,3,1
108,11,690,125,5883,16,20,18,5336,1,1,1,0
221,1,450,65,1054,39,17,17,726,1,0,3,1
27,20,120,17,2215,30,6,6,3051,0,1,1,1
55,27,0,30,2040,9,72,94,1506,0,0,2,0
52,8,518,19,4374,48,26,18,4930,1,1,3,1
6,14,201,15,1590,10,29,35,2024,1,0,1,0
172,7,124,4,1728,45,26,15,2631,0,0,3,1
31,22,85,3,4652,9,25,42,1385,0,1,1,0
123,5,642,44,1519,26,21,4,1176,0,1,2,0
212,7,210,20,2067,24,26,11,2591,0,0,2,0
324,8,510,84,4481,54,11,40,1034,1,1,3,1
146,14,201,4,2567,13,37,39,2996,0,1,2,0
89,10,153,35,1611,27,36,18,2412,0,0,2,0
205,6,30,30,272,25,17,1,2414,0,0,1,0
10,11,85,20,1992,15,30,28,2704,0,1,2,0
275,19,450,143,382,5,40,57,4002,0,1,1,0
69,3,883,197,1054,31,15,10,2368,1,1,1,1
13,11,124,7,4158,55,32,19,4050,0,0,3,1
25,3,192,1,4158,35,13,17,3714,0,0,1,1
5,38,212,91,1323,35,118,125,1015,1,1,2,0
249,10,395,42,865,18,30,24,1273,1,0,2,0
202,15,418,26,5160,9,31,38,1063,1,1,1,0
177,12,90,7,2673,22,12,2,5616,0,0,1,0
318,14,342,16,3124,33,4,17,976,1,1,1,1
187,8,42,25,1507,28,10,8,2680,0,0,1,1
58,18,124,40,391,23,54,46,1765,0,0,2,0
8,30,234,78,1510,100,5,78,484,1,0,3,1
159,15,150,14,2969,9,32,41,2680,1,0,1,0
283,21,180,3,1061,6,50,67,541,1,0,2,0
137,9,750,88,6173,27,10,8,3100,0,1,1,1
6,18,85,20,3552,6,31,45,2769,0,1,1,0
173,13,180,3,5105,11,29,34,977,0,1,1,0
234,19,376,36,5800,88,11,72,2806,1,1,3,1
149,29,400,18,2470,107,68,28,2250,0,1,3,1
56,15,466,21,930,34,48,25,1591,1,0,2,0
110,33,255,138,1689,113,9,84,1481,1,0,3,1
150,22,182,23,1266,21,65,63,2341,0,0,2,0
185,3,67,30,1972,42,12,26,2125,0,1,3,1
417,22,120,20,778,28,9,2,1116,1,0,1,0
49,5,306,7,3606,30,26,2,5427,0,1,2,0
29,16,301,93,1146,21,11,7,700,1,1,1,0
206,8,30,27,2096,22,27,14,1290,0,0,2,0
75,5,658,144,5306,27,22,3,5315,1,1,2,0
91,8,212,7,3796,22,28,16,2501,0,1,2,0
162,7,495,70,2789,30,29,5,1677,1,1,2,0
11,16,335,42,3344,16,46,46,2291,1,1,2,0
240,14,182,31,1740,68,33,32,2163,1,1,3,1
304,22,366,58,664,53,0,36,2480,1,0,1,1
304,5,0,30,85,29,24,3,691,0,0,2,0
131,26,120,6,1914,112,19,86,1689,1,0,3,1
30,9,150,7,3245,42,32,4,4499,0,0,2,1
26,15,0,30,810,11,23,29,1533,0,1,1,0
51,10,418,100,1380,23,34,21,1500,1,0,2,0
143,18,120,26,1124,62,51,4,1455,0,1,2,1
268,31,108,31,2310,134,52,72,2271,1,0,3,1
6,18,277,94,283,10,46,56,1116,1,1,2,0
256,7,430,39,5968,46,7,34,3001,1,1,3,1
22,17,376,49,4644,36,54,30,2148,0,1,2,0
211,11,474,68,5093,56,31,22,859,1,1,3,1
241,17,150,18,255,54,51,6,713,1,0,2,0
333,18,210,85,552,9,25,36,3912,0,1,1,0
201,5,713,307,2438,43,9,30,1320,1,1,3,1
82,11,240,16,4916,26,9,6,774,1,1,1,1
67,13,306,59,5776,68,11,55,1265,1,1,3,1
207,4,180,12,1181,43,13,27,2307,0,0,3,1
49,10,469,43,5795,48,5,37,2940,1,1,1,1
422,7,499,3,860,22,22,9,3849,1,0,2,0
16,6,0,30,3573,27,26,7,1523,0,0,2,0
148,9,240,12,2873,27,33,15,6612,1,0,2,0
45,14,417,29,5532,19,13,8,3523,1,1,1,0
195,34,592,6,2940,27,104,142,2761,0,1,2,0
173,9,170,19,1087,25,33,17,2379,0,0,2,0
335,12,42,18,1140,13,26,27,446,0,0,1,0
54,20,108,18,3569,69,54,7,2949,0,0,3,1
267,15,120,3,1832,16,16,17,1390,0,0,1,0
