"V1","V3","V4","V5","V6","V7","V8","V9","V10","C3","C1","C2","C4"
217,8,240,30,2283,19,24,15,4420,0,0,2,0
37,24,67,6,6173,97,51,40,4510,1,0,3,1
503,31,85,2,598,23,92,101,636,0,0,2,0
252,15,457,62,3877,16,42,40,2868,1,1,2,0
252,5,67,28,1677,29,14,8,5566,0,0,1,1
7,18,655,45,2250,70,48,17,1371,1,1,3,1
60,10,366,15,4222,20,30,22,1948,1,1,2,0
13,14,30,27,3892,46,43,4,1209,0,1,2,0
45,9,277,30,4618,22,31,19,4953,0,1,2,0
155,16,212,49,3439,8,28,39,5886,1,0,1,0
85,16,513,259,1292,78,9,65,1024,1,0,3,1
64,8,242,26,1201,40,30,5,2197,0,0,2,1
68,15,576,147,582,20,46,40,2440,1,0,2,0
124,9,424,52,5920,46,5,35,2835,0,1,1,1
127,29,124,14,4048,21,21,32,5392,1,0,1,0
182,11,108,5,2438,65,15,48,134,0,0,3,1
227,18,323,28,192,8,26,38,4415,1,1,1,0
9,8,124,24,4200,51,26,22,5028,0,1,3,1
163,17,335,15,955,75,37,34,1138,0,0,3,1
306,11,277,49,454,60,29,27,1693,0,0,3,1
2,11,330,37,3203,23,36,23,2379,1,0,2,0
25,17,430,59,1531,48,51,12,2839,1,0,2,0
247,37,67,29,1575,121,12,83,1194,0,0,3,1
346,6,175,10,977,27,25,6,1036,0,0,2,0
286,11,350,31,4135,15,27,24,1253,1,1,2,0
6,16,190,7,3376,69,38,26,2589,1,0,3,1
283,22,30,23,1852,77,60,8,1590,0,0,3,1
17,12,170,4,3361,21,39,29,2366,0,0,2,0
293,12,0,30,3329,16,17,15,2110,0,0,1,0
246,22,90,27,1448,6,30,49,1342,0,1,1,0
401,14,90,15,430,48,43,1,3087,0,0,2,0
38,24,210,63,210,9,64,81,1063,1,0,2,0
72,28,600,162,2101,22,20,29,1917,1,0,1,0
272,15,301,19,811,12,39,43,1224,1,0,2,0
182,6,467,44,828,26,26,7,2648,0,0,2,0
184,13,190,17,2431,59,4,50,421,0,1,3,1
148,22,60,26,1318,74,0,62,1578,0,0,1,1
80,10,150,13,2954,16,23,20,2352,0,0,1,0
16,5,331,4,3790,31,25,1,5674,1,1,2,0
331,9,124,23,1063,35,33,5,1624,0,0,2,0
103,11,242,16,2133,20,35,27,1471,1,0,2,0
254,20,376,58,959,39,62,38,2383,0,0,2,0
222,23,430,16,2220,73,63,0,1316,0,1,2,0
328,37,60,10,1692,7,97,137,1224,1,0,2,0
53,12,95,25,1487,34,41,16,2717,0,0,2,0
3,21,365,111,4325,41,66,40,875,1,1,2,0
186,9,210,30,1702,34,33,6,553,1,0,2,0
98,12,524,77,4260,41,40,7,2208,1,1,2,0
81,13,153,34,1865,44,43,6,1833,0,0,2,0
289,21,30,25,1865,12,20,31,1514,0,0,1,0
336,18,404,95,750,9,25,37,3413,0,1,1,0
157,16,242,37,2739,8,33,44,1345,1,1,1,0
144,19,361,22,1047,69,50,12,3322,0,1,3,1
76,24,150,68,5357,3,37,62,4355,0,0,1,0
28,16,446,93,750,11,41,48,1768,0,1,2,0
16,13,446,16,5716,61,4,52,3565,1,1,3,1
27,19,67,10,5212,14,17,23,4128,0,0,1,0
7,15,685,131,1226,35,48,24,2534,1,1,2,0
388,14,765,89,2574,39,3,26,1557,1,1,1,1
359,10,95,4,990,23,12,0,324,0,0,1,0
48,7,335,6,3500,41,29,7,3180,0,0,2,1
284,3,361,3,474,42,14,24,1501,1,1,3,1
312,16,60,17,2460,59,1,50,1986,0,0,1,1
0,7,153,26,1872,24,26,12,1863,0,0,2,0
170,11,212,6,1458,64,21,41,2408,0,0,3,1
353,21,366,76,787,4,34,54,3472,0,1,1,0
144,5,511,73,2250,41,9,27,1587,0,1,1,1
37,8,0,30,1782,39,32,2,1413,0,1,2,1
311,2,67,20,698,34,20,9,6047,0,0,2,1
30,13,875,558,953,68,10,55,2154,1,1,3,1
88,11,60,34,845,15,23,21,799,0,1,1,0
7,11,67,17,5074,40,4,28,4053,0,0,1,1
147,15,30,22,2356,78,15,60,594,0,1,3,1
224,17,446,81,390,8,31,42,1852,1,1,1,0
392,8,242,15,631,24,28,13,3475,0,0,2,0
240,17,360,83,1481,78,33,42,2353,1,1,3,1
81,11,382,4,4819,51,35,11,216,1,1,2,1
22,4,95,22,3291,28,15,5,1370,0,0,1,1
206,9,30,31,1024,53,26,24,2110,0,1,3,1
325,18,700,53,1591,30,57,41,2428,1,1,2,0
20,14,108,3,6258,56,2,48,4602,0,0,1,1
147,18,60,43,1907,11,46,54,1563,0,0,2,0
429,15,484,33,966,30,47,28,3961,0,0,2,0
30,18,470,126,484,8,45,57,932,1,1,2,0
237,18,60,5,1290,29,56,41,2188,0,0,2,0
184,8,42,25,2704,20,26,16,4579,0,0,2,0
233,5,150,16,4897,45,22,19,2609,0,1,3,1
196,9,242,9,5356,31,34,11,979,0,1,2,0
111,9,285,11,1532,23,13,0,1315,1,0,1,0
179,7,85,29,994,24,25,10,2293,0,0,2,0
150,22,283,110,2338,34,6,9,659,1,0,1,1
399,6,120,16,1057,24,19,4,5004,0,0,1,0
252,15,162,6,3554,14,42,44,2305,0,0,2,0
131,16,283,27,1048,45,50,14,1824,1,0,2,0
203,5,395,31,1181,26,17,2,2780,1,1,1,1
42,6,350,5,2634,23,21,7,2461,1,0,1,0
162,10,228,12,1907,19,30,22,1931,1,1,2,0
88,18,750,124,5828,27,8,2,3840,1,1,1,1
