data,app,time
annthyroid,rank,4.882705126669672
annthyroid,real,7.453945639398363
cardio,rank,5.342780711584621
cardio,real,9.173858499262067
cover,cat,5.0200874667035205
cover,rank,4.306204811533292
cover,real,5.350207089914216
mammography,rank,3.874812201725112
mammography,real,5.587253933284018
pima,cat,1.925119358499845
pima,rank,1.987373924387826
pima,real,1.1017713791131973
solarflare,cat,3.8677323940727444
yeast,cat,2.789640122122235
yeast,rank,3.094816208018197
yeast,real,1.6428999332586924
