"R1","R2","R3","R4","R5","R6","R7","R8","R9","C10","R11","R12","R13","R14","R15","R16","R17","R18","R19","R20","R21","R22","R23","R24","R25","R26","R27","R28","R29","R30","R31","R32","R33","R34","R35","R36","C1","C3","C5","C7","C9","C11","C12","C13","C15","C17","C19","C20","C21","C23","C25","C27","C29","C31","C33","R35.1"
16,94,1,75,12,94,3,81,13,102,2,2,16,99,3,73,8,99,4,24,9,99,8,72,16,99,4,75,16,103,4,78,12,107,9,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,89,3,78,8,94,3,81,9,98,2,9,12,95,3,80,8,91,4,31,9,95,0,79,7,91,4,79,7,91,4,86,12,87,7,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,94,11,82,4,89,7,81,5,89,2,5,8,87,10,80,8,87,9,38,4,87,13,87,7,91,4,83,7,87,7,90,4,87,11,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,89,7,78,4,89,3,81,9,94,2,5,8,87,10,87,3,87,13,35,4,83,13,90,7,87,7,87,3,87,11,90,4,79,19,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,94,3,78,4,85,11,85,1,85,6,9,3,83,14,87,0,83,13,38,1,83,13,90,3,79,19,92,3,79,15,95,0,75,15,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,85,11,78,0,94,7,78,9,94,11,2,0,83,14,87,3,83,13,35,9,91,9,83,3,75,19,92,1,75,15,86,0,75,4,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,94,7,75,8,94,10,78,13,98,6,-2,3,83,14,84,8,91,9,31,9,95,4,76,1,75,15,83,1,75,4,78,8,83,4,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,102,5,67,24,115,10,66,25,115,15,-13,20,99,3,69,20,103,13,17,21,112,18,65,20,103,9,67,16,103,13,70,21,111,13,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,98,5,63,16,102,10,70,17,106,11,-6,29,107,12,66,24,112,18,13,25,112,18,65,25,107,13,67,25,107,9,70,21,107,9,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,102,10,67,16,106,10,70,21,111,15,-10,24,112,17,62,24,112,18,13,25,107,13,65,25,107,9,67,20,107,9,65,21,107,9,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,98,5,71,16,98,5,74,21,106,2,-2,20,107,12,66,20,103,8,24,21,103,8,69,20,111,13,62,20,107,13,70,21,107,13,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,102,1,71,20,98,5,74,17,102,6,-2,16,99,3,69,16,103,8,24,21,99,4,72,20,107,9,71,16,99,4,70,12,99,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,98,5,71,16,102,5,74,21,111,11,-6,16,103,7,73,20,99,4,20,17,103,8,72,16,99,4,67,11,99,0,78,21,95,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,98,3,71,12,98,1,74,13,94,2,-2,16,99,1,73,12,91,4,27,13,87,4,83,11,95,0,75,11,99,0,74,12,95,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,62,23,78,4,73,11,81,13,94,6,-2,12,61,14,76,3,79,0,24,13,95,0,72,7,83,4,75,16,99,4,74,17,99,4,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
