"R1","R2","R3","R4","R5","R6","R7","R8","R9","C10","R11","R12","R13","R14","R15","R16","R17","R18","R19","R20","R21","R22","R23","R24","R25","R26","R27","R28","R29","R30","R31","R32","R33","R34","R35","R36","C1","C3","C5","C7","C9","C11","C12","C13","C15","C17","C19","C20","C21","C23","C25","C27","C29","C31","C33","R35.1"
24,115,19,60,16,102,5,78,17,102,2,-2,33,126,32,51,24,112,18,20,17,103,4,76,34,126,34,50,20,121,28,57,17,107,13,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,102,5,75,16,102,1,74,13,102,2,2,24,112,17,69,16,103,4,24,17,99,4,79,20,121,28,54,16,107,13,70,17,99,4,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,102,1,71,12,102,1,78,17,94,2,2,16,103,3,73,16,99,4,27,17,99,4,76,16,107,13,67,16,99,4,78,17,99,4,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,94,1,75,12,94,3,81,13,102,2,2,16,99,3,73,8,99,4,24,9,99,8,72,16,99,4,75,16,103,4,78,12,107,9,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,94,3,78,12,102,1,78,9,102,2,2,8,99,3,73,8,99,8,20,9,103,18,69,16,103,4,75,11,107,9,70,12,107,9,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,102,5,71,8,102,5,70,13,98,6,2,12,107,17,66,12,112,18,17,13,107,13,72,11,107,13,67,11,103,4,74,12,103,4,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,102,5,67,12,98,5,78,9,94,2,5,12,112,17,66,12,107,13,20,13,95,0,79,11,103,4,71,11,103,4,78,12,95,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,89,3,78,8,94,3,81,9,98,2,9,12,95,3,80,8,91,4,31,9,95,0,79,7,91,4,79,7,91,4,86,12,87,7,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,94,11,82,4,89,7,81,5,89,2,5,8,87,10,80,8,87,9,38,4,87,13,87,7,91,4,83,7,87,7,90,4,87,11,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,89,7,78,4,89,3,81,9,94,2,5,8,87,10,87,3,87,13,35,4,83,13,90,7,87,7,87,3,87,11,90,4,79,19,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
