"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"C","S","O",1,3,1,1,2,1,1
"D","S","O",1,3,1,1,2,1,2
"D","R","O",1,3,1,1,2,1,1
"B","X","O",1,2,1,1,2,1,1
"B","X","O",1,3,1,1,2,1,1
"F","K","I",1,3,1,2,2,1,2
"B","X","I",1,3,1,1,2,1,1
"B","X","O",1,3,1,1,2,1,1
"D","A","I",1,2,1,1,2,1,1
"D","S","O",1,3,1,2,2,1,2
"D","S","O",1,3,1,1,2,1,1
"D","A","O",1,3,1,2,2,1,2
"D","S","I",1,3,1,1,2,1,1
"D","S","O",1,2,1,2,2,1,2
"D","K","C",2,3,3,2,2,1,2
"C","R","O",1,3,1,1,2,1,1
"H","S","X",1,2,1,1,1,1,2
"D","S","I",1,2,1,2,2,1,1
"C","A","O",1,2,1,2,2,1,2
"B","X","O",1,2,1,1,2,1,1
"D","A","I",1,2,1,2,2,1,2
"C","S","O",2,2,1,2,2,1,1
"D","K","I",1,3,1,2,2,1,2
"H","R","X",1,2,1,1,2,1,2
"C","K","O",1,2,3,2,2,1,2
"H","R","X",1,2,1,1,2,1,2
"H","R","X",1,2,1,1,2,1,2
"H","S","X",1,2,1,1,2,1,2
"D","K","I",1,3,1,2,2,1,2
"C","R","O",1,1,1,1,2,1,2
"B","X","O",1,3,1,1,2,1,1
"B","X","I",1,3,1,1,2,1,1
"H","S","X",1,2,1,1,2,1,2
"H","S","X",1,2,1,1,1,1,2
"B","X","O",1,3,1,1,2,1,2
"C","S","O",1,2,3,2,2,1,2
"C","A","I",1,3,1,1,2,1,2
"H","S","X",1,1,1,1,2,1,2
"C","S","O",1,3,1,1,2,1,2
"H","R","X",1,2,1,1,2,1,2
"H","A","X",1,2,1,1,2,1,2
"B","X","O",1,2,1,1,2,1,1
"D","A","I",1,3,1,1,2,1,2
"C","K","I",1,3,1,1,2,1,1
"C","A","I",1,3,1,2,2,1,2
"B","X","O",2,3,1,1,2,1,2
"F","A","I",2,3,1,2,2,1,2
"D","A","I",1,3,1,1,2,1,2
"C","A","I",1,3,1,2,2,1,2
"C","R","O",1,1,1,2,2,1,1
"B","X","O",1,3,1,1,2,1,1
"E","K","I",2,3,1,2,2,1,2
"D","S","I",1,3,1,2,2,1,2
"B","X","O",1,3,1,1,2,1,2
"E","K","C",1,3,1,2,2,1,2
"C","R","O",1,2,1,2,2,1,1
"C","S","I",1,2,1,2,2,1,1
"H","K","X",1,2,1,2,2,1,2
"H","S","X",1,2,1,2,2,1,2
"H","S","X",1,2,1,1,2,1,2
"D","K","C",2,2,1,2,2,2,2
"B","X","O",1,3,1,1,2,1,1
"H","S","X",1,2,1,2,2,1,2
"C","A","O",1,2,1,2,2,1,2
"E","K","C",1,3,1,1,2,2,2
"C","A","O",1,2,1,1,2,1,1
"C","A","O",1,3,1,1,2,1,1
"C","A","O",1,2,1,1,2,1,1
"B","X","O",1,3,1,1,2,1,1
"C","R","I",2,1,1,2,2,1,1
"B","X","O",1,2,1,1,2,1,1
"B","X","O",1,2,1,2,2,1,1
"D","A","I",1,3,1,2,2,1,1
