"V2","V3","V4","V5","V6","V7","V8","V9","C2","C3","C4"
0.06,0.18,0.03,0.27,0.5,0,0.47,0.22,0,1,0
0.01,0.05,0.03,0.65,0.5,0,0.47,0.22,1,1,0
0.09,0.1,0.09,0.15,0.5,0,0.42,0.3,0,0,1
0.11,0.09,0.01,0.46,0.5,0,0.47,0.22,1,0,1
0.02,0.02,0.01,0.51,0.5,0,0.46,0.22,1,1,1
0.1,0.04,0.02,0.19,0.5,0,0.41,0.27,1,0,1
0.04,0.05,0.08,0.1,0.5,0,0.43,0.32,1,1,0
0.11,0.12,0.1,0.12,0.5,0,0.47,0.47,0,1,1
0.04,0.18,0.07,0.39,0.5,0,0.53,0.37,1,0,1
0.0700000000000001,0.01,0.07,0.27,0.5,0,0.49,0.22,1,0,1
0.15,0.0700000000000001,0.05,0.22,0.5,0,0.55,0.22,1,1,1
0.11,0,0.02,0.19,0.5,0,0.5,0.22,0,0,1
0.05,0.01,0.07,0.08,0.5,0,0.48,0.27,1,0,0
0.11,0.02,0.06,0.22,0.5,0,0.49,0.29,1,0,0
0.01,0.05,0.04,0.12,0.5,0,0.49,0.22,0,1,1
0.32,0.36,0.04,0.37,0.5,0,0.44,0.22,1,1,0
0.03,0,0.07,0.23,0.5,0,0.56,0.22,0,0,1
0,0.07,0.05,0.55,0.5,0,0.58,0.25,0,0,1
0.01,0.03,0.08,0.3,0.5,0,0.49,0.35,1,1,1
0.03,0.11,0.04,0.22,0.5,0,0.48,0.27,0,0,0
0,0.12,0.02,0.25,0.5,0,0.5,0.28,0,1,0
0.13,0.06,0.12,0.12,0.5,0,0.51,0.22,0,0,0
0.07,0.14,0.03,0.18,0.5,0,0.44,0.22,0,0,1
0.14,0.03,0.03,0.22,0.5,0,0.74,0.22,0,1,0
0.02,0.08,0.15,0.26,0.5,0,0.47,0.22,0,0,1
0.05,0.0600000000000001,0.17,0.31,0.5,0,0.46,0.22,1,1,0
0.04,0.02,0.04,0.05,0.5,0,0.55,0.25,1,1,1
0.08,0.09,0.08,0.47,0.5,0,0.52,0.43,0,0,1
