"X","V2","V3","V4","V5","V6","V7","V8","V9","C2","C3","C4"
1,0.09,0.12,0.04,0.13,0.5,0,0.52,0.22,1,1,0
2,0.06,0.18,0.03,0.27,0.5,0,0.47,0.22,0,1,0
3,0.15,0.13,0.02,0.15,0.5,0,0.47,0.22,1,1,0
5,0.07,0.05,0.03,0.54,0.5,0,0.52,0.22,0,0,0
6,0.02,0.09,0.05,0.17,0.5,0.5,0.51,0.22,1,0,1
7,0.01,0.05,0.03,0.65,0.5,0,0.47,0.22,1,1,0
10,0.09,0.1,0.09,0.15,0.5,0,0.42,0.3,0,0,1
11,0.06,0.1,0.03,0.21,0.5,0,0.47,0.27,0,0,1
12,0.07,0.12,0.08,0.2,0.5,0,0.48,0.29,0,0,1
13,0.09,0.07,0.0599999999999999,0.35,0.5,0,0.47,0.25,0,0,1
14,0.11,0.09,0.01,0.46,0.5,0,0.47,0.22,1,0,1
15,0.17,0.0600000000000001,0.06,0.19,0.5,0,0.54,0.22,1,1,0
16,0.03,0.05,0.01,0.11,0.5,0,0.5,0.22,0,0,1
17,0.02,0.1,0.01,0.11,0.5,0,0.51,0.4,0,0,0
19,0.01,0.15,0.04,0.21,0.5,0,0.51,0.22,1,0,1
21,0.04,0.09,0.01,0.16,0.5,0,0.5,0.22,0,0,0
22,0.06,0.05,0.03,0.22,0.5,0,0.49,0.22,0,0,0
23,0.24,0.14,0.09,0.3,0.5,0,0.51,0.22,1,1,0
25,0.03,0.04,0.01,0.15,0.5,0,0.42,0.22,0,1,1
26,0.02,0.02,0.01,0.51,0.5,0,0.46,0.22,1,1,1
27,0.1,0.04,0.02,0.19,0.5,0,0.41,0.27,1,0,1
28,0.08,0.02,0.09,0.18,0.5,0,0.49,0.22,1,0,1
29,0.14,0.18,0.0599999999999999,0.24,0.5,0,0.51,0.22,1,1,1
31,0.04,0.05,0.08,0.1,0.5,0,0.43,0.32,1,1,0
33,0.11,0.12,0.1,0.12,0.5,0,0.47,0.47,0,1,1
