"X","V2","V3","V4","V5","V6","V7","V8","V9","C2","C3","C4"
4,0.09,0.05,0.0599999999999999,0.13,0.5,0,0.46,0.22,1,0,1
8,0.01,0.04,0.08,0.2,0.5,0,0.42,0.34,0,0,1
9,0.0600000000000001,0.01,0.15,0.36,0.5,0,0.51,0.22,1,1,1
18,0.09,0.02,0.03,0.11,0.5,0,0.49,0.26,1,0,1
20,0.12,0.11,0.04,0.21,0.5,0,0.5,0.25,1,1,1
24,0.06,0.04,0.01,0.13,0.5,0,0.45,0.22,0,1,1
30,0.31,0.39,0.15,0.39,0.5,0,0.44,0.33,1,1,0
32,0.02,0.02,0.08,0.87,0.5,0,0.48,0.22,1,1,0
47,0.25,0.26,0.07,0.47,0.5,0,0.6,0.35,1,1,1
55,0.15,0.1,0.05,0.23,0.5,0,0.54,0.22,1,1,1
57,0.17,0.13,0.02,0.1,0.5,0,0.51,0.22,1,1,0
58,0.04,0.05,0,0.33,0.5,0,0.45,0.22,1,0,0
61,0.06,0.14,0.01,0.52,0.5,0,0.46,0.22,0,0,1
72,0.09,0.02,0.02,0.27,0.5,0,0.43,0.29,1,1,0
78,0.01,0.05,0.02,0.54,0.5,0,0.49,0.27,1,1,1
80,0.06,0.08,0,0.49,0.5,0,0.52,0.22,0,1,0
83,0.02,0.05,0.09,0.57,0.5,0,0.42,0.22,1,1,1
86,0.21,0.09,0.3,0.13,0.5,0,0.49,0.22,0,1,0
88,0.31,0.14,0.06,0.29,0.5,0,0.49,0.22,1,1,0
96,0.11,0.01,0.14,0.26,0.5,0,0.57,0.22,0,1,0
100,0.15,0.08,0.0599999999999999,0.27,0.5,0,0.63,0.22,1,1,1
103,0.02,0.03,0.01,0.4,0.5,0,0.59,0.22,0,1,0
104,0.01,0.26,0.0599999999999999,0.27,0.5,0,0.52,0.47,0,0,1
108,0.19,0.0700000000000001,0.04,0.18,0.5,0,0.5,0.22,0,1,1
112,0.05,0.03,0.1,0.23,0.5,0,0.49,0.22,0,1,0
113,0.19,0.17,0.0599999999999999,0.19,0.5,0,0.52,0.55,0,0,1
