"reals.1","reals.2","reals.3","cats"
1,0.121995319415857,0.067009993611885,1
0.134552788049625,1,0.381463551397528,1
0.411218013088131,0.0632095472913278,1,0
0.0446826357644907,0.00194062651417362,1,0
1,0.474016870335095,0.881536922593838,0
1,0.337013329543498,0.0983991853125875,0
0.360495755738811,1,0.468563279421294,0
1,0.167201165916105,0.00498985048167131,0
0.329071606371206,0.255466946525372,1,0
1,0.361220397286126,0.943902545889472,0
1,0.923489943523424,0.0230586517054527,1
0.351444206749948,0.0145055800521242,1,1
0.379463742095425,0.031086479623051,1,0
0.0515998263774024,0.98143259991262,1,0
1,0.0378152194825641,0.757763837870054,1
1,0.186035761812379,0.11080366489273,0
0.472940581084153,0.639383330128774,1,0
1,0.318702803318327,0.67139566070297,1
0.272153164467858,0.0859690885975089,1,0
0.521974669115221,1,0.56984387700113,0
0.410301312409537,1,0.0181531078485302,0
0.984320898474136,0.0494359176957991,1,0
1,0.135265946884474,0.34948533843851,0
0.065520413604921,0.40209846071139,1,0
0.238123905833074,0.455362901456161,1,1
0.41674628232088,1,0.0899198870133816,1
0.244446764549697,1,0.792261924174781,1
1,0.237864361954263,0.0420734627358673,1
0.463743228741732,0.353264455132737,1,1
0.849332387624344,0.271829073621428,1,0
0.404010336948602,0.0695395427153502,1,1
1,0.383732331962252,0.0164358924107147,1
1,0.118484044831163,0.314720893543826,1
0.911638741742394,0.187987991419632,1,1
0.440225291940476,0.353509390143781,1,0
1,0.110432757757497,0.064289844637717,0
0.000684313510968617,0.0745323153222379,1,1
0.981390617990112,0.126272421668612,1,0
0.325070097751049,0.033285243368525,1,0
1,0.373026093608517,0.881637982539472,1
0.780355886011611,1,0.369328427857604,0
0.261795204069983,0.126377864943114,1,1
1,0.431146801431051,0.463061431992936,0
0.00396032365298284,1,0.197244622754531,0
0.326581874031088,0.0317749093408245,1,0
1,0.209150525145657,0.532246831109448,1
0.415604882983245,0.394247276048365,1,1
0.449481075868402,1,0.910888354029241,0
1,0.0267802506952856,0.144140357501233,0
0.00245746795791501,0.0643440278774932,1,0
0.0144826052897171,0.0573799279324523,1,1
0.41867045180475,1,0.923853914044003,1
1,0.0183211607123471,0.677427691968907,0
0.60273989467237,0.80368575449684,1,0
0.321233408322147,0.0729770823277114,1,0
0.0643164559904745,0.193796521361163,1,0
1,0.151208444753941,0.0470110768142246,0
0.0640991510539039,0.710785039954649,1,1
0.840655043322917,0.0410752119048373,1,1
0.271177523899362,0.000490304037473247,1,0
1,0.193725868203138,0.394585843051891,1
0.880394663393422,0.157998967514578,1,1
0.25859467545336,1,0.501435408487728,0
0.911296232720175,1,0.146666575795098,0
1,0.118785710896843,0.492001811125447,0
0.832528802133396,1,0.47486074365536,1
1,0.30072009852987,0.814173153052713,0
0.761353853172117,1,0.0348139363988845,1
0.911133509535431,0.844351948105615,1,0
0.117450831918054,1,0.247551627568843,0
0.0040951554801758,0.0128931540997415,1,0
1,0.203706378871124,0.0651798930853354,0
0.860924470785913,1,0.149986804188212,0
0.712334873174195,0.498885810591235,1,0
0.783885931369119,0.500444695586248,1,1
0.0359186140018351,0.108312695699587,1,1
0.154629661617704,1,0.257885330852386,0
0.10653069584779,0.0564603563307294,1,0
0.0200119588235126,0.858695525856614,1,1
1,0.090780166300331,0.770955951961289,1
0.0747942976874314,0.937887990040022,1,0
0.460133480830379,0.000395001055253863,1,1
0.0654146160608556,1,0.393986374028041,1
0.102952916473468,0.389864751384822,1,0
1,0.209516893328851,0.148912448475726,1
0.404500281942439,0.0127248480007746,1,1
1,0.182574750743267,0.196752600159196,0
0.0605363399269491,1,0.106205471916156,1
0.251401310330752,0.401976749732446,1,0
0.486196735285031,1,0.385172435946577,0
0.169549753953974,0.0229792478957916,1,1
0.0891665332884555,1,0.561275500762676,1
0.0554218153365724,1,0.403391881749864,0
1,0.742762890462573,0.841401843530711,0
1,0.375680194335633,0.210886299811755,1
0.195583327268757,0.0119759318333218,1,0
0.13312255897314,1,0.212703313475217,0
0.98842881108397,0.266312050345046,1,0
0.402833882107536,1,0.360198205550878,1
0.219232220910417,0.48475611207134,1,0
0.00379770818087157,0.0358382304924464,1,0
0.0507957720693917,0.1362624968918,1,1
0.0366738538570894,0.128896377918763,1,1
0.441213984020408,1,0.0167457710320122,0
0.26570247809995,0.674042460991439,1,1
1,0.192178072140386,0.752308383315686,0
0.822404003146,0.0296191878783976,1,0
0.0255474187105284,8.97395432045953e-07,1,0
0.470498783661164,0.783255356836289,1,1
0.0680219172996725,0.0371381006147461,1,0
0.619504440444041,0.140105945936833,1,0
0.187003022815683,1,0.38608865537879,0
0.108250909005562,0.58672098734946,1,0
0.151988115348013,0.152099015281161,1,1
0.169075704881103,0.4389654306349,1,1
1,0.0356013655361395,0.192375634349334,1
1,0.0127915128954593,0.945278534768712,1
1,0.113625945979246,0.872533677714123,0
0.00745803041654565,0.186447121529246,1,0
0.0979984069565332,7.2685277824111e-06,1,0
0.0469480774164909,0.105217126358943,1,1
1,0.979276997699003,0.229483671809766,1
0.486718842437455,0.64879996567737,1,0
0.369636329977645,0.09022220022638,1,0
0.108075543434102,1,0.0084779164714126,1
1,0.0244032564681265,0.10076425871757,1
0.0363984441347012,0.0641663217570638,1,0
0.306269745162703,0.0227154507808097,1,0
1,0.254154421382688,0.401052119545951,0
0.33605820408663,1,0.520283834145497,0
0.313562516662141,1,0.688836459520294,0
0.077339517576473,1,0.610546506307204,0
0.0791729588030531,0.450966375822663,1,0
0.0380109153416839,0.152584648826436,1,0
0.496259449777584,0.0204884071498091,1,1
0.056855779739307,0.473548918727364,1,0
0.933539577694239,0.012434938651758,1,0
0.929648699302306,0.152685510917893,1,0
0.518983516073521,0.216527599830618,1,1
0.0836233453187443,0.896807550427119,1,0
1,0.766799500479236,0.0244865911693669,1
0.317826025513518,1,0.0165302685182445,0
0.205663768566439,1,0.210736970889163,1
0.142731782662605,0.0155257301005889,1,0
1,0.388198074016694,0.0273925544423046,0
0.263182726362346,0.00152485954193797,1,0
1,0.0257836083557149,0.996650631491679,1
1,0.135476269062482,0.0203492914034384,0
0.446864541939333,0.0156100598347202,1,1
0.152038090969687,0.527955114280967,1,1
1,0.782470824407487,0.246651213362114,0
0.809497077367415,0.247377102568462,1,1
1,0.359370193344179,0.260381109886551,1
1,0.558810320342288,0.0493916873006269,0
1,0.353781659943238,0.37585269836363,1
0.321570511180393,0.159861385258373,1,1
0.620651428203491,0.497919757836507,1,0
1,0.964018857738242,0.476367607019257,0
0.787299610179402,1,0.00419970680303477,1
0.605916219058999,0.261644289032947,1,1
0.00182197854331482,0.196630650064989,1,0
0.574073640642995,0.916735742017329,1,0
0.414771624252485,1,0.492353789377629,0
1,0.643967319239891,0.122345973283842,0
1,0.127684646638328,0.0688435782992071,0
0.976026978583647,0.157675365371254,1,0
1,0.147021917854572,0.794191782919867,0
1,0.0483485751909173,0.655831098268892,1
0.318668927613814,0.122100113501411,1,1
1,0.165004754994483,0.873567844718327,0
0.675670084339952,1,0.885741178565421,1
0.00942758504741527,0.289506991891116,1,0
0.425771190856681,0.182018245048894,1,1
0.152400006052208,0.167678601953599,1,1
1,0.516539653768038,0.456435853224582,0
0.282818102169636,0.342108104469436,1,0
0.0225949433771982,0.252201975699629,1,0
1,0.125266434241273,0.843884529234204,0
0.472746060184859,1,0.076623791156147,1
0.0432731799900628,0.00262102587448017,1,1
0.278129487991593,0.279246038855514,1,0
0.00646965572311276,0.771464779919217,1,0
0.210559999549458,0.0921236222704823,1,1
0.0594988219433514,1,0.388724294505194,0
0.816624983727478,0.0707570697618244,1,0
1,0.102062346000025,0.524429384431517,0
0.0663771000153842,0.128874376640588,1,1
0.307094962638552,0.280420861740472,1,1
1,0.494419161744481,0.937182300280804,1
0.639182464795189,0.457741833593943,1,1
0.301367235886967,1,0.108239897282502,1
0.219425188376523,0.715015794057987,1,0
0.119174883411166,0.031228117598779,1,0
0.802150649237286,0.00111096591049528,1,0
1,0.870542704738084,0.588025428602762,0
1,0.142124396363311,0.329528431834692,1
0.152614141908489,0.0684490984623441,1,0
0.0960590905788063,1,0.28804605807165,0
1,0.724746557233923,0.602693567861361,0
0.218931879740109,0.534692518127833,1,0
0.216971117749938,0.102655531340728,1,0
1,0.0342817498818603,0.220546401528104,0
0.373049488031959,0.219116802363592,1,0
0.0707652227318211,0.527361642483198,1,1
1,0.262586097781848,0.435434240999273,0
1,0.0451675066194341,0.43733650648446,1
1,0.274298761926746,0.0511966077823255,0
0.691830052922443,0.583751522411758,1,0
1,0.251512693075835,0.182446692309272,0
1,0.313975189256419,0.870261526288176,0
1,0.303062654266968,0.8664953602242,0
0.220793276303137,1,0.0113370170085191,1
1,0.198534535308174,0.0275872410964375,0
0.201092630228775,0.202465417365701,1,0
0.62312433471438,0.439858104282835,1,0
0.534228265770962,0.088953214146351,1,0
1,0.262030624173959,0.489883665616969,0
0.81482364786592,0.568194283245952,1,1
0.248853544445138,0.310068081793241,1,1
1,0.181141416646857,0.838967466490826,0
0.386343636193897,0.336136071545175,1,0
0.134990935890862,0.0234172300522599,1,0
1,0.056446784739065,0.0428425562514184,1
0.0953329679960444,0.739950861992467,1,1
0.353946825852337,0.423661111277664,1,1
0.152658447331116,1,0.316336852310488,0
1,0.258694519887097,0.974502800570772,1
0.325755206431077,0.0212515247938088,1,1
1,0.214277226476827,0.991709655443422,0
0.193247355705556,0.0693639548032407,1,1
1,0.0290165864558647,0.889294999433049,1
0.833849946560956,0.20787683319132,1,1
0.469008859490097,1,0.309760919490072,0
1,0.388881985720447,0.499008166509582,1
1,0.0481660278347389,0.290544312028439,0
0.0605954008383391,0.0144925967458388,1,0
1,0.219627171559983,0.224248254106645,0
1,0.411733254665087,0.369112620977676,1
0.291094311394644,0.21356103337412,1,0
0.0428161462240741,0.78078729056525,1,0
1,0.635804326046607,0.266612273270602,1
1,0.910969954440462,0.127750562585377,1
1,0.304330289952972,0.988707993476266,1
0.635895489255724,0.00344066267660567,1,0
1,0.836696999137084,0.490116083328297,0
0.0477475552919496,1,0.104893559140837,1
0.2130522255748,0.455561381756067,1,1
1,0.0291415792102548,0.191177930964743,1
0.202672938961292,0.0857668510337476,1,0
0.968345014861254,0.374176783227277,1,0
0.721067866147187,0.207693307281998,1,0
0.105411836166069,0.0044882850576473,1,1
0.368734341153427,1,0.195525521980478,0
1,0.392785155618159,0.596053037646834,0
1,0.148825977573935,0.0149037386887279,0
0.275086093694275,0.000132060679264882,1,1
1,0.517344407529644,0.615305138106535,1
0.010078710101126,0.138389857347574,1,1
1,0.156585514077254,0.669684912074933,0
0.229616182108906,0.0832545888398439,1,1
0.342616496798547,1,0.596865142795523,0
0.0612379886670178,0.0078855728459864,1,1
0.31963522124216,0.337681908103886,1,0
0.205348106128702,0.00748854084524998,1,1
0.0287013946472011,0.426287882565741,1,1
0.0178638358512358,1,0.215186581159417,0
0.403616862021311,1,0.0139056140537404,1
0.162245060613933,0.00124984037366519,1,1
0.498392786987408,0.305580287057093,1,1
0.679344462796165,0.642737862097538,1,0
0.13513731539258,0.885765246512528,1,0
0.769928452049852,0.383448377263979,1,0
0.0340755543285265,1,0.0827722961613733,0
0.161014058052391,0.11774831611979,1,0
0.465576331561199,0.27888047564578,1,1
0.604286879230876,1,0.48639563551904,1
0.702214696489733,0.793792980289444,1,1
1,0.840637408837932,0.342821359526915,1
0.266938851863839,1,0.480477786282495,0
0.0224443247461678,0.156097682668411,1,1
0.0891472482526815,0.0687346349360357,1,1
1,0.0277326422886252,0.0128102164899738,1
0.01134382266603,0.35494934498741,1,0
1,0.179714298520655,0.0214773289059823,1
0.391666901754149,0.768640485823249,1,0
0.289448076955959,0.291198175047929,1,0
0.36333855209541,0.035871804587428,1,1
0.26050504923803,0.710070436538713,1,1
1,0.177627069138494,0.262132421190278,0
0.0253402505029014,0.0126412461731159,1,0
0.0189141467720663,0.168655030538491,1,1
0.271673393233501,0.03747407678365,1,0
0.95784961528742,1,0.0733255976163621,0
