Column1,Column2,chi
1,0,0.6917471465134513
2,0,0.5264024908555662
2,1,0.718456159759456
3,0,0.4022799398206028
3,1,0.5002614215863991
3,2,0.5997804415313702
4,0,0.3455092973346435
4,1,0.42267818852794065
4,2,0.49384557566501536
4,3,0.7591851729789163
5,0,0.3284005846895125
5,1,0.37503205931184913
5,2,0.40762483915494796
5,3,0.55097594448909
5,4,0.6337885720232559
6,0,0.3187425997016723
6,1,0.3599674364708233
6,2,0.383150918590234
6,3,0.49066777702027414
6,4,0.5440691935068104
6,5,0.7289088256426459
7,0,0.28689651618341216
7,1,0.3171798033828151
7,2,0.32886867910609296
7,3,0.39486215414998926
7,4,0.4217591200413452
7,5,0.5395908495959505
7,6,0.6353763659616484
