Column1,Column2,chi
1,0,0.8403213127810023
2,0,0.8185109334022027
2,1,0.8325758353693927
3,0,0.7809781299347905
3,1,0.8063869337978985
3,2,0.8242589353586982
4,0,0.7550439476704341
4,1,0.7834975837088247
4,2,0.8075340152815333
4,3,0.8247375592572953
5,0,0.7147567816991309
5,1,0.7494080863552002
5,2,0.7800337107788053
5,3,0.8050829923346479
5,4,0.8196259244319726
6,0,0.6816390593230821
6,1,0.7159341183199595
6,2,0.7513020836171477
6,3,0.7836158262540156
6,4,0.8054568767872331
6,5,0.8216499244988491
7,0,0.6455997874398197
7,1,0.6813760255291645
7,2,0.720061745909557
7,3,0.7562070430710174
7,4,0.7796875394570769
7,5,0.8028485378893268
7,6,0.8166944580123396
8,0,0.6048767765992077
8,1,0.6437363783297478
8,2,0.6857292689330684
8,3,0.7220633569028162
8,4,0.7491936255658422
8,5,0.7756531496650192
8,6,0.7952445651551476
8,7,0.8071812534350683
9,0,0.5816821193645866
9,1,0.6177882967424281
9,2,0.6571153946643802
9,3,0.6948401446525153
9,4,0.7201791273036954
9,5,0.7498169645786893
9,6,0.7735398251247809
9,7,0.7882116425523876
9,8,0.8033037896854778
10,0,0.5504825873762909
10,1,0.5849987522079046
10,2,0.6265179600184618
10,3,0.6646310065057268
10,4,0.6879749453530406
10,5,0.720762946333891
10,6,0.7487925383279838
10,7,0.7655995345477944
10,8,0.7886464114515037
10,9,0.8010894184230982
11,0,0.540477174593753
11,1,0.5731060409341628
11,2,0.6153184877336269
11,3,0.6500226479023613
11,4,0.673443484627376
11,5,0.7060900747470865
11,6,0.7319933591406467
11,7,0.7498586477603767
11,8,0.7760665380685127
11,9,0.7961339435460706
11,10,0.7977908507182163
12,0,0.528910164569535
12,1,0.5580597375965377
12,2,0.5986955386006033
12,3,0.6320734137690821
12,4,0.6556385086070199
12,5,0.6871127819104381
12,6,0.7137242656539698
12,7,0.733571574270035
12,8,0.7592738699702629
12,9,0.7861283332802744
12,10,0.7900075754782353
12,11,0.7966792273975625
13,0,0.498251968693724
13,1,0.5220558853821812
13,2,0.5601598933362028
13,3,0.590558878914281
13,4,0.6130965511292018
13,5,0.6435652893294825
13,6,0.6721963129083429
13,7,0.6906307312024514
13,8,0.7183755512693715
13,9,0.7531414682597262
13,10,0.7625357127083378
13,11,0.7765889204401321
13,12,0.78457104303807
14,0,0.46149944556747685
14,1,0.48417392818236016
14,2,0.5218574208306608
14,3,0.550106821870591
14,4,0.571642053728163
14,5,0.600769155977385
14,6,0.627303903534998
14,7,0.6480922837053268
14,8,0.6778455957403996
14,9,0.714079593736191
14,10,0.7325589142952089
14,11,0.7488006828297972
14,12,0.7615944077613919
14,13,0.781788813570157
15,0,0.4343687824361238
15,1,0.45319027732888967
15,2,0.48816059275954055
15,3,0.5151772813026804
15,4,0.5333216119965587
15,5,0.5624524006585787
15,6,0.5872350658436768
15,7,0.6078406454725159
15,8,0.6359202394951673
15,9,0.6762536814017167
15,10,0.6928405540621121
15,11,0.7131171569387178
15,12,0.7319114155189537
15,13,0.7618527425402539
15,14,0.7798734441371713
16,0,0.4121729254121056
16,1,0.42923738153992486
16,2,0.4606857531888859
16,3,0.4830054110177422
16,4,0.5015900506055594
16,5,0.5290739309937618
16,6,0.5514739014814842
16,7,0.5717316671164102
16,8,0.5960318193801947
16,9,0.633827808327789
16,10,0.6509856198045688
16,11,0.6752147172216231
16,12,0.6965986598939682
16,13,0.7315527187810247
16,14,0.7597056739436683
16,15,0.7776384835273257
17,0,0.39856751586709244
17,1,0.41313035081354477
17,2,0.4423850847928099
17,3,0.4601446301254769
17,4,0.4774616785606684
17,5,0.5024825787721249
17,6,0.5232299912494186
17,7,0.5423564957573807
17,8,0.5641633425586535
17,9,0.6035651416154835
17,10,0.616068698156029
17,11,0.6421901991322999
17,12,0.6670252585212653
17,13,0.703761217734935
17,14,0.7340721293860558
17,15,0.7601549542281948
17,16,0.776892830743448
18,0,0.3874590384326982
18,1,0.3984508356002079
18,2,0.42545012539297083
18,3,0.44230006330174054
18,4,0.45994666849357746
18,5,0.484696926332125
18,6,0.506988782469301
18,7,0.5248272217243152
18,8,0.5457624551006094
18,9,0.58457325115419
18,10,0.5960654778229486
18,11,0.6257988291948549
18,12,0.6479574259552252
18,13,0.6892593370944949
18,14,0.7190995650746986
18,15,0.7480205093973498
18,16,0.7682789090588239
18,17,0.7803810345399325
19,0,0.37844669260184294
19,1,0.38812382234292725
19,2,0.4134936873641195
19,3,0.42886447521059134
19,4,0.44503284801819504
19,5,0.4680244200864779
19,6,0.49056597522323014
19,7,0.5081557636485584
19,8,0.5283077286043711
19,9,0.5685279654411438
19,10,0.5802876454388243
19,11,0.6089993570815335
19,12,0.6313025483830746
19,13,0.6706880109521314
19,14,0.7028621408314659
19,15,0.7327261335152149
19,16,0.7585545959123029
19,17,0.7743180374296179
19,18,0.7819848391252826
20,0,0.35646912712146733
20,1,0.3656779383230086
20,2,0.3888505105267988
20,3,0.40295503553695117
20,4,0.4182487079138188
20,5,0.440719916494546
20,6,0.46245026287153074
20,7,0.4779740939935519
20,8,0.4982593813181851
20,9,0.5380539461280277
20,10,0.5513951260040416
20,11,0.5770910578162175
20,12,0.5994259564756402
20,13,0.638969889755357
20,14,0.671335318203319
20,15,0.7037401857198309
20,16,0.7360930169014386
20,17,0.7598274337022738
20,18,0.771470331575662
20,19,0.7766091167033464
21,0,0.35316996324606614
21,1,0.36086919772463333
21,2,0.3835919910213029
21,3,0.3978529621648538
21,4,0.41282818832178
21,5,0.43490534504024936
21,6,0.45615788036678073
21,7,0.47514822642246124
21,8,0.4922580667344716
21,9,0.5295468698970061
21,10,0.5411925084430126
21,11,0.5689014500248762
21,12,0.5947217937296373
21,13,0.6307009198047157
21,14,0.6602774889121992
21,15,0.6913418950885126
21,16,0.7233767305547902
21,17,0.7526242005256478
21,18,0.7664271982567686
21,19,0.771995886960935
21,20,0.7766547946526426
22,0,0.3446704058451671
22,1,0.35049931696369785
