"reals.1","reals.2","reals.3","cats"
0.0520557134196876,1,0.264655703175597,0
0.260639078834735,0.697775592772742,1,1
1,0.0435210440307131,0.50424486269768,1
0.213211095543794,0.899263969973456,1,0
0.729567961504423,1,0.990751714779433,1
1,0.0999170429834804,0.809590464356413,1
0.498293455550014,1,0.755749934908093,1
0.641597322859289,0.0982048146375828,1,0
1,0.971912911748062,0.16089104786482,1
0.115404912378431,1,0.460870273008086,1
0.57138810910109,1,0.389682392064016,1
0.207984837197745,0.512960267035963,1,0
0.72175152185285,1,0.0421488073299523,1
0.117884681515528,1,0.372964191278666,1
0.00261789788300218,0.527302557861623,1,1
0.142666219950224,0.191760333467645,1,1
0.603525366878474,1,0.0520344347507973,1
1,0.233906786735302,0.00397391867712603,1
0.000588617453932249,1,0.239023655612405,1
0.216860865945379,1,0.243061629470784,0
0.5796236485208,1,0.952272749452946,1
0.0247957917001717,0.0871063049574114,1,0
0.195985153564857,1,0.296358994174589,1
0.257791326228603,0.473259416758075,1,1
0.0167699791451661,1,0.00553669692990247,1
1,0.128323180957959,1.72514796333404e-07,1
0.108188466643926,1,0.636557637328444,1
1,0.499717538627336,0.0316543600991577,1
1,0.17320897416862,0.766692292822185,1
1,0.584599631436686,0.0438523346374721,0
0.00934426830660728,0.150808138242912,1,0
0.00746185315339569,1,0.108877996447976,0
0.269040104948648,0.573611246341918,1,1
0.672575320992275,1,0.7305305875377,0
0.0962370974613973,1,0.219621470959429,0
0.0182413520606206,1,0.0534067287863911,1
0.245637157034945,1,0.0283533363988409,1
0.232277575829937,0.194350922798356,1,0
0.357494689284983,0.445019348794125,1,1
0.365636276461662,0.133852482322696,1,0
1,0.616839084314349,0.440005257154509,1
1,0.167307742893215,0.625291515897388,1
1,0.58544114185683,0.317876625236555,1
0.110917388324882,1,0.652802319787017,0
0.240451027315045,0.340135020749408,1,0
1,0.382760936196048,0.679845582035448,1
0.148525577887114,0.675272467420757,1,0
0.0272724546785155,0.251719082166363,1,1
1,0.394763261277916,0.69645022190647,1
0.537833270120401,0.473498054882054,1,0
0.034906262386368,1,0.402034878535858,1
1,0.843660137730616,0.648089387561991,0
1,0.262593120308245,0.400517134981761,0
0.357120763478744,0.341684088750797,1,1
0.710269389214539,1,0.0684073699243897,1
1,0.871794985444865,0.199134794785927,0
0.27576640230014,1,0.312948886877981,1
0.625986469392842,0.0839098929272822,1,1
0.256467254227487,1,0.816430699040252,1
0.137127565215516,0.724419234351241,1,0
0.0585047177639154,1,0.0223641681290369,1
1,0.0644369500090159,0.107703018042266,0
0.044572913277708,0.1315783636056,1,1
0.0864804208831098,1,0.365458927507664,0
1,0.720904511358775,0.876497239107098,0
0.30558544554617,1,0.300474493665891,1
0.419373163679174,1,0.281579259331869,1
0.0878750174420247,0.230603703164779,1,1
