"real.1","real.2","real.3"
0.140299347870644,1,0.0199910238430497
0.562464031192123,0.00133826777904749,1
0.797525609334976,1,0.246974570774617
1,0.190341545954833,0.254090930362772
0.0494766406242408,1,0.432180245045323
0.00221376937931326,1,9.44669538826681e-07
0.0715602944071593,0.245875266102506,1
1,0.464702868935686,0.39621427218859
0.130806773356719,0.620915749796733,1
0.58735211496148,0.761386533706128,1
1,0.252739266661272,0.837097173879875
0.551863761355349,1,0.177768552994304
0.13299457999422,1,0.321597082937131
0.958594498307686,1,0.620320689161806
0.546856997292765,1,0.141145447447465
1,0.139885178758399,0.0512730395896281
1,0.828980693350442,0.375390937933177
0.339989937221968,1,0.0170977838913961
1,0.272757075556194,0.0971480062983603
0.253052588797488,1,0.294936176313652
0.493378151178948,1,0.117476250187974
0.71982326786136,0.247769148271539,1
1,0.156686750075454,0.22184726853076
0.675981032940127,1,0.0832226401675974
0.10841281145861,0.0004498306470294,1
1,0.476537478474125,0.0140433234322255
0.101511679415377,1,0.130303652166072
0.339312248119122,1,0.273181194095809
0.654279268265703,1,0.198405444375529
0.0153175870718699,1,0.438562869650472
1,0.294712402483841,0.0274261869701439
0.163602065563382,0.0626811568155879,1
0.614857458157755,1,0.2777858444957
0.225509050141059,1,0.46262517809175
0.411565975933423,1,0.525789615265248
0.000923288033466802,1,0.526914069363493
1,0.459559298084118,0.0226120762988669
0.381473552271399,1,0.633238077474214
0.645892074909691,1,0.0362575961185384
0.0450402732662635,0.605316687382215,1
0.235091703313157,1,0.924960681577794
0.918244647155171,1,0.662731996471762
0.0314051434056619,1,0.707795513301156
0.629038031434669,1,0.107940003571764
1,0.0485364553854492,0.936506532623763
1,0.0789753945199095,0.068342600407024
0.0299087987268874,0.870327662985904,1
0.116383075091796,0.220338762688935,1
0.643337438960479,1,0.457026643777981
0.184303806374908,1,0.906165112555505
0.167330563199211,0.00196322464144209,1
0.0905147492425002,0.157937498364492,1
0.477099132662128,0.135888708860783,1
0.95129286171413,1,0.0706099863940973
3.17664387109683e-06,0.000817117944054564,1
0.0893987826373513,1,0.0171852453521698
0.491337185607826,0.0281667200247619,1
0.445412943700532,1,0.264859568838845
0.937306661782717,0.033772068926991,1
1,0.942854657795653,0.129857436628931
0.490053670914773,0.915942354996193,1
0.163519445291717,0.99801399275723,1
1,0.765207168408203,0.000652324269284407
1,0.504755788706694,0.00730032662144436
0.0212523100125654,4.58097027246248e-05,1
1,0.369125942131015,0.184305320189308
0.128242436455715,0.78720145031449,1
0.194115473007863,0.00420718448194586,1
1,0.790859090376512,0.370537411725861
0.97352288665652,1,0.167840392058294
1,0.128511204495299,0.0275087983852242
1,0.62023624311817,0.32030719535206
0.129751745943895,0.106130998874373,1
1,0.604862838210471,0.0216690108488982
0.143214815068144,0.877797673388584,1
0.0871478314386099,9.42006184757532e-05,1
0.251605759515226,1,0.626051914360875
1,0.446409707952836,0.0215775265113839
0.0698739010703626,0.0375050280034123,1
1,0.198879839294695,0.0225922650460139
1,0.0109201201032224,0.811309010648312
1,0.308343904625469,0.839997932949449
0.435876060945989,0.193917280041798,1
0.0886759078054676,1,0.498871149080829
1,0.268390929901552,0.06536063863952
0.103702206567443,0.355726500244351,1
1,0.324880945711026,0.0557010042402783
1,0.334824534684164,0.986658396906948
0.0519392933661043,0.199733182095564,1
1,0.333567245067263,0.0537884615066442
3.2692219223514e-05,1,0.181699948113524
1,0.61428509224703,0.304763725733782
0.524232125936691,0.629792878105026,1
1,0.139295494623804,0.00024767242790189
1,0.156605656928966,0.016795008091101
1,0.611850959355605,0.900839704377951
0.269755849365021,1,0.484078594494324
1,0.380799914822364,0.0813747683453056
0.0274219537339865,0.00809901032450879,1
0.605680132189421,0.106598516357229,1
0.185626875966071,1,0.30354846279859
0.164614604925036,0.116103359686839,1
1,0.146458563909568,0.0970750289415418
0.881401926614534,1,0.111001763032078
0.13773094733724,0.0711938491114966,1
1,0.302119213756123,0.111124840079866
1,0.576127762302863,0.0262743528007071
1,0.710592792668149,0.339800748503552
