"real.1","real.2"
1,0.300805569555765
1,0.532041582661857
0.0707806853773039,1
1,0.0255585859111405
1,0.21743562285003
1,0.00423353650196386
1,0.0640343476145294
0.167380716699578,1
0.655856661429546,1
1,0.0852627073783173
1,0.162850602086909
0.628478261835501,1
1,0.95581226938073
1,0.140299025300849
0.596235301802476,1
1,0.283414419448865
0.285123546292958,1
0.0227356686352255,1
0.117852458061456,1
1,0.0100280225339095
1,0.0669536250688299
0.0343223072083805,1
0.760742957021155,1
1,0.0402363664420982
0.514823962579252,1
1,0.018714858470635
1,0.671048652993995
0.327347824238449,1
1,0.226809125871955
0.26895536444444,1
1,0.962819885519447
1,0.981182323591129
0.299303398073911,1
0.501808743715837,1
1,0.0476238583171607
1,0.0433720461997126
0.524570772976453,1
1,0.203274790016853
0.374287443068417,1
1,0.318170558909141
1,0.0469230666952021
1,0.17705775646073
1,0.920995201938687
1,0.0649588612636993
1,0.705009140440132
0.471522870828906,1
0.369682923951454,1
1,0.033788902177541
1,0.187608043376497
1,0.099097622901172
1,0.678396126910551
0.539403358971282,1
1,0.137290443544178
0.770540445953728,1
0.933389379317997,1
0.0202920814209692,1
1,0.186897932515313
1,0.167435484129277
0.854446830843747,1
0.169290366249294,1
0.129777260544587,1
1,0.0961932531181191
1,0.183703630677752
0.304772945347724,1
1,0.141406042578875
1,0.131301253267645
0.0302149425359188,1
1,0.250903343660599
1,0.0128324551816755
1,0.397652846633425
0.0794082140776391,1
1,0.286824924498072
1,0.153318789524677
1,0.364813923751698
1,0.00885775855391674
1,0.338046058446804
1,0.0518798778555663
1,0.00307203001551343
0.340514266595051,1
1,0.469428735040391
1,0.107071102661763
0.522674180608139,1
1,0.0143851366074737
1,0.317914695160802
1,0.0468322592394367
1,0.000318021584056593
1,0.257931866626662
0.368883255828645,1
1,0.254855185539058
0.258400142353667,1
0.969084636023706,1
1,0.104039542395082
0.139844828563779,1
1,0.00696433678495792
1,0.293547278610747
1,0.238922158228916
0.639311957830972,1
