"real.1","real.2","real.3"
0.276409359713789,1,0.0800885063229717
1,0.441271201309625,0.459657830531793
0.392499407130856,1,0.385651161499868
1,0.259223474934443,0.0730635085084963
0.931399453534627,1,0.281751125213412
1,0.315814226950128,0.0456343957836907
0.388675571537045,1,0.215519763109718
1,0.0300836547876477,0.0684241287589476
1,0.448834038572754,0.0270001940601741
0.0958537117015417,0.875138794868549,1
1,0.158793054611376,0.0103003937385895
1,0.664888612997835,0.00377215191562187
0.10066992372572,0.00350758164124552,1
1,0.276787198613309,0.155485101551883
1,0.913307794998567,0.383815742301333
0.145228189454762,0.051974913238312,1
0.534719740433664,0.918970546152715,1
0.249484103162325,1,0.593254377872257
0.592907190414302,1,0.204024073880116
0.580996951929879,0.496661813253057,1
0.639492708701044,0.00137049224366366,1
1,0.132771495431436,0.324784664848017
0.509759305262077,0.00329280986444749,1
1,0.226783594305983,0.311028442543956
0.451069861385102,1,0.279098295550688
0.674814445489007,1,0.0757553113686329
1,0.0818672742846562,0.129511051297374
0.000589657406460263,1,0.970202952604495
0.709041535776654,1,0.196479048591099
0.312365960992635,1,0.154671212426297
1,0.387474961474613,0.0165704520408111
0.296669330440974,0.596666009734792,1
1,0.0364584030972985,0.010602271538986
0.943092499203191,0.454496885620051,1
0.10992090014592,0.548091816833565,1
0.15782878150089,0.0434440002947436,1
0.105082660510144,1,0.197979460751995
1,0.148581021906635,0.407812783799402
0.973952900626255,0.75574503484111,1
0.409833624346288,1,0.120144981647302
0.0986644553893951,1,0.72793026899141
1,0.00165768340841582,0.206690511997469
1,0.547612347935183,0.327896613023084
0.147317400817765,1,0.0380899777008317
0.313620000396433,1,0.451021041873924
0.300183627499623,1,0.292611256989594
1,0.207296275259952,0.682027033383492
1,0.226212964114653,0.394275999872717
1,0.427505322256594,0.105514562412946
0.461703062458318,0.376014239437285,1
0.693513153571145,0.14744704374517,1
1,0.217518497727557,0.194505012431633
1,0.116182614311993,0.204358369674191
0.345876975721602,0.856045272063761,1
0.500682020797599,1,0.178913971458935
0.0175596590550912,0.490890326818968,1
1,0.658329736277276,0.251251393891562
